,S. No.,Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Deaths
0,1,Andaman and Nicobar Islands,33,33,0
1,2,Andhra Pradesh,2757,1809,56
2,3,Arunachal Pradesh,1,1,0
3,4,Assam,329,55,4
4,5,Bihar,2380,653,11
5,6,Chandigarh,225,179,3
6,7,Chhattisgarh,214,64,0
7,8,Dadar Nagar Haveli,2,0,0
8,9,Delhi,12910,6267,231
9,10,Goa,55,16,0
10,11,Gujarat,13664,6169,829
11,12,Haryana,1131,750,16
12,13,Himachal Pradesh,185,61,3
13,14,Jammu and Kashmir,1569,774,21
14,15,Jharkhand,350,141,4
15,16,Karnataka,1959,608,42
16,17,Kerala,795,515,4
17,18,Ladakh,49,43,0
18,19,Madhya Pradesh,6371,3267,281
19,20,Maharashtra,47190,13404,1577
20,21,Manipur,29,4,0
21,22,Meghalaya,14,12,1
22,23,Mizoram,1,1,0
23,24,Odisha,1269,497,7
24,25,Puducherry,26,10,0#
25,26,Punjab,2045,1870,39
26,27,Rajasthan,6742,3786,160
27,28,Sikkim,1,0,0
28,29,Tamil Nadu,15512,7491,103
29,30,Telengana,1813,1065,49
30,31,Tripura,189,153,0
31,32,Uttarakhand,244,56,2
32,33,Uttar Pradesh,6017,3406,155
33,34,West Bengal,3459,1281,269
34,,Cases being reassigned to states,2338,,
